id; last_times_detected; lifetime; left_lifetime; detection_confidence; blinking_freq; movement_vector; last_positions;
657; [0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 37; 1; 21; 9.0; [0.0, 0.0]; [(1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1095.0, 941.0), (1095.0, 941.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0)];
657; [0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 38; 0; 22; 9.0; [0.0, 0.0]; [(1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1095.0, 941.0), (1095.0, 941.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0), (1096.0, 939.0)];
1271; [0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]; 25; 4; 21; 9.0; (0, 0); [(185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0)];
1271; [0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]; 26; 3; 22; 9.0; (0, 0); [(185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0)];
1271; [1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]; 27; 2; 23; 9.0; (0, 0); [(185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0)];
1271; [0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 28; 1; 24; 7.5; (0, 0); [(185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0)];
1271; [0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 29; 0; 25; 7.5; (0, 0); [(185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0), (185.0, 306.0)];
2792; [0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 49; 0; 21; 7.5; [0.09090909090909091, 0.0]; [(1081.0, 854.0), (1081.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0), (1082.0, 854.0)];
3303; [0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]; 37; 10; 21; 9.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]; 38; 9; 22; 9.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]; 39; 8; 23; 9.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]; 40; 7; 24; 9.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]; 41; 6; 25; 9.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]; 42; 5; 26; 9.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]; 43; 4; 27; 7.5; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]; 44; 3; 28; 7.5; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]; 45; 2; 29; 7.5; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 46; 1; 27; 6.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3303; [1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; 47; 0; 25; 6.0; [0.0, -0.1]; [(976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (976.0, 813.0), (977.0, 812.0), (976.0, 810.0), (977.0, 812.0), (977.0, 812.0), (977.0, 812.0), (976.0, 812.0)];
3584; [0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0]; 31; 9; 21; 12.0; [0.7777777777777778, 0.1111111111111111]; [(559.0, 306.0), (557.0, 304.0), (562.0, 303.0), (563.0, 304.0), (564.0, 305.0), (564.0, 305.0), (564.0, 305.0), (565.0, 305.0), (567.0, 304.0), (567.0, 304.0), (568.0, 304.0), (569.0, 304.0)];
3584; [0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]; 32; 8; 22; 12.0; [0.7777777777777778, 0.1111111111111111]; [(559.0, 306.0), (557.0, 304.0), (562.0, 303.0), (563.0, 304.0), (564.0, 305.0), (564.0, 305.0), (564.0, 305.0), (565.0, 305.0), (567.0, 304.0), (567.0, 304.0), (568.0, 304.0), (569.0, 304.0)];
3584; [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]; 33; 7; 23; 12.0; [0.7777777777777778, 0.1111111111111111]; [(559.0, 306.0), (557.0, 304.0), (562.0, 303.0), (563.0, 304.0), (564.0, 305.0), (564.0, 305.0), (564.0, 305.0), (565.0, 305.0), (567.0, 304.0), (567.0, 304.0), (568.0, 304.0), (569.0, 304.0)];
3584; [0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]; 34; 10; 21; 13.5; [0.7142857142857143, -0.14285714285714285]; [(559.0, 306.0), (557.0, 304.0), (562.0, 303.0), (563.0, 304.0), (564.0, 305.0), (564.0, 305.0), (564.0, 305.0), (565.0, 305.0), (567.0, 304.0), (567.0, 304.0), (568.0, 304.0), (569.0, 304.0), (573.0, 300.0)];
3601; [1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]; 34; 8; 21; 9.0; [1.5, -0.25]; [(1378.0, 892.0), (1378.0, 892.0), (1381.0, 894.0), (1381.0, 892.0), (1382.0, 892.0), (1383.0, 891.0), (1385.0, 891.0), (1388.0, 891.0), (1390.0, 891.0), (1391.0, 888.0)];
