id; last_times_detected; lifetime; left_lifetime; detection_confidence; blinking_freq; movement_vector; frames_since_last_detection; last_known_position; expected_position; last_positions;
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 28; 9; 21; 15.0; (-2.388888888888889, 1.3888888888888888); 2; (993.0, 495.0); (988, 498); [(1036.0, 470.0), None, (1031.0, 472.0), None, (1027.0, 476.0), None, (1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 29; 10; 22; 15.0; (-2.3333333333333335, 1.4444444444444444); 1; (989.0, 498.0); (987, 499); [None, (1031.0, 472.0), None, (1027.0, 476.0), None, (1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0)];
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 30; 9; 23; 15.0; (-2.3333333333333335, 1.4444444444444444); 2; (989.0, 498.0); (984, 501); [(1031.0, 472.0), None, (1027.0, 476.0), None, (1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 31; 10; 24; 15.0; (-2.388888888888889, 1.3888888888888888); 1; (984, 501); (982, 502); [None, (1027.0, 476.0), None, (1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501)];
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 32; 9; 25; 15.0; (-2.388888888888889, 1.3888888888888888); 2; (984, 501); (979, 504); [(1027.0, 476.0), None, (1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 33; 10; 26; 15.0; (-2.388888888888889, 1.3888888888888888); 1; (979, 504); (977, 505); [None, (1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504)];
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 34; 9; 27; 15.0; (-2.388888888888889, 1.3888888888888888); 2; (979, 504); (974, 507); [(1022, 479), None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 35; 10; 28; 15.0; (-2.388888888888889, 1.3888888888888888); 1; (974.0, 506.0); (972, 507); [None, (1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0)];
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]; 36; 9; 29; 15.0; (-2.388888888888889, 1.3888888888888888); 2; (974.0, 506.0); (969, 509); [(1017.0, 481.0), None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0), None];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]; 37; 10; 30; 15.0; (-2.3333333333333335, 1.4444444444444444); 1; (970.0, 510.0); (968, 511); [None, (1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0), None, (970.0, 510.0)];
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]; 38; 10; 31; 16.5; (-2.3333333333333335, 1.4444444444444444); 1; (970.0, 511.0); (968, 512); [(1012, 484), None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0), None, (970.0, 510.0), (970.0, 511.0)];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]; 39; 10; 32; 16.5; (-2.3125, 1.4375); 1; (964.0, 512.0); (962, 513); [None, (1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0), None, (970.0, 510.0), (970.0, 511.0), (964.0, 512.0)];
5317; [1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]; 40; 9; 33; 16.5; (-2.3125, 1.4375); 2; (964.0, 512.0); (959, 515); [(1007, 487), None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0), None, (970.0, 510.0), (970.0, 511.0), (964.0, 512.0), None];
5317; [0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]; 41; 10; 34; 16.5; (-2.3125, 1.375); 1; (960.0, 514.0); (958, 515); [None, (1003.0, 490.0), None, (998, 493), None, (993.0, 495.0), None, (989.0, 498.0), None, (984, 501), None, (979, 504), None, (974.0, 506.0), None, (970.0, 510.0), (970.0, 511.0), (964.0, 512.0), None, (960.0, 514.0)];
